userId,GoalSetting,StrategicPlanning,SelfEvaluation,TaskStrategies,Elaboration,HelpSeeking,SRL,only lecture,Atry to lecture,explore,only asessment,Lcomplete to Atry,lecture to Acomplete,hrs,prior_exp,crs_str,crs_fin,int_topic,int_assess,edu,age,isfemale,emp_student,emp_job,completer,days_act,num_events,num_ses,grade,cluster,Gano
2be80cf765923518719b33d2d078777d1e3f705e,4,3.75,3.333333333,2.5,4,2.75,3.388888889,11,190,4,7,0,0,5,1,0,0,1,1,4,25,0,0,1,VERDADERO,16,323,24,89.80952501,1,1
eeac841723d84328a2f650abe7d047c57896fb26,2,2.25,2,2.5,2.333333333,1,2.013888889,24,180,0,5,10,0,3,0,0,0,0,0,4,20,0,1,0,VERDADERO,21,407,36,89.95237947,1,1
a1d27b35868b86982e6f6f243311039e0118d63f,4,3,4,3.5,3.666666667,2.75,3.486111111,12,170,5,0,0,0,3,1,0,0,1,1,6,36,0,0,1,FALSO,12,305,19,75,1,1
57321959de0e480c2dc9dea609060857085b80e3,3.75,3.75,3.666666667,3.5,3.666666667,3.25,3.597222222,28,170,15,9,0,0,5,1,0,0,1,1,4,31,0,0,1,FALSO,14,246,35,81.14285469,1,1
0eb40362a8019dcb38ba6b1bb93c7fb1d7f6b236,4,4,4,4,4,3.75,3.958333333,49,170,0,0,4,0,10,0,2,2,1,1,6,40,0,0,1,FALSO,13,269,36,87.68571615,1,1
4c1f7b3c6555066100c3d34f6117fcc13ac8b5d6,3.25,3,4,3.166666667,3,2.75,3.194444444,3,170,7,23,6,4,10,0,0,0,1,1,3,31,1,0,1,FALSO,18,428,38,88.01904917,1,1
8713af51d2502ab002ed99f55ab0ad94731f55da,2.5,2.5,2,1.833333333,2.333333333,2.25,2.236111111,3,170,18,3,0,0,4,1,2,2,1,1,3,38,0,0,1,VERDADERO,11,330,22,94.20952201,2,1
a4ede3aa900b049918fbd5ba79739f65428f2b26,3.75,3.75,4,3.5,4,3.25,3.708333333,8,170,18,11,0,0,8,1,2,2,1,1,3,31,0,0,1,VERDADERO,6,358,17,94.80000138,2,1
09225961df28931313442554d4212da13021e1f4,3.25,3.75,2.666666667,3.166666667,3.333333333,2,3.027777778,14,170,13,13,0,0,3,1,7,3,1,1,7,44,0,0,1,VERDADERO,10,287,19,95.60952187,2,1
6266fdcbb573ebd90b16233c0fb1e3e8c7a65e6a,4,4,4,4,4,3.5,3.916666667,42,162,21,21,5,0,5,0,0,0,1,1,3,30,0,0,1,FALSO,18,585,49,89.75238204,1,1
35853c4dfa21a8b07b505f3e183ae7deb60d5608,3.75,4,4,4,4,3,3.791666667,3,160,6,13,0,0,5,1,0,0,1,1,5,28,0,0,1,FALSO,14,360,27,76.85238123,1,1
d827fef50694bed0bb1c076ac32eb36ddc943f27,3.5,4,4,4,4,3.5,3.833333333,28,160,7,14,0,0,2,1,2,2,1,1,1,47,0,0,0,FALSO,37,980,63,82.20952153,1,1
b004d68ecf99fe99f61014d93d9d17defecca5cc,3.25,3.5,3.666666667,3.833333333,4,2.5,3.458333333,16,160,22,6,7,6,4,1,0,0,1,1,3,24,0,0,1,FALSO,17,393,24,87.75237799,1,1
38f45c2c79d27747e7f9407245b04b1c8ec5d7a3,3,3.25,3.666666667,2.833333333,3.333333333,2.5,3.097222222,11,160,36,10,0,15,4,1,2,2,1,1,3,31,0,0,1,VERDADERO,12,373,20,88.40952516,1,1
30c4b2ad329b6aa21f73ba04298f19afb39027fd,4,4,4,4,4,3.25,3.875,19,160,8,6,0,0,14,0,0,0,1,1,4,29,1,0,0,VERDADERO,13,286,38,89.60952163,1,1
31abe2f4ad9266151eb0627cf5286eac5a79cd16,2.75,3.75,3.666666667,3.833333333,3.333333333,2,3.222222222,25,160,0,13,7,0,6,0,0,0,1,1,5,23,0,0,0,VERDADERO,18,406,27,94.26666498,2,1
539ef2ae35ce85128252511dd3da1b9a1eb863c0,4,4,3.333333333,2.5,4,1.5,3.222222222,8,160,0,0,0,0,7,1,0,0,1,1,3,23,0,1,0,VERDADERO,6,306,15,95.0666666,2,1
bc354df0b6d723bc92a505fa99ba0d00b9bad11f,1,1.75,1.666666667,1.666666667,2,1,1.513888889,4,160,24,6,7,0,4,0,7,6,1,1,4,36,0,0,1,VERDADERO,13,294,20,95.68571448,2,1
8b7612be9bfebe69a407c3392f4c37a0caf4b19b,3.5,3.5,3.333333333,2.833333333,3.333333333,1.5,3,33,160,8,9,0,0,6,1,0,0,1,1,5,37,0,0,1,FALSO,23,350,46,96.20000124,2,1
fde277f16466f72cca8996c1e15db3bc83fe0e62,2.25,2.75,3.666666667,3.166666667,3,1.25,2.680555556,18,160,4,16,0,0,10,1,3,2,1,1,5,34,0,0,1,VERDADERO,21,325,43,96.54285908,2,1
21b83b644b3e16dbe97f453fd5db91324b919a48,3.75,3.75,4,3.166666667,3.666666667,2.25,3.430555556,30,160,4,0,0,0,18,0,0,0,1,1,3,26,0,1,0,VERDADERO,20,396,48,97.39999771,2,1
43b1bca84e9a1b98868d07513d8933ef13c836e7,2.75,3,3.666666667,2.666666667,2.666666667,1,2.625,24,160,12,24,0,6,8,0,1,1,1,1,3,35,0,0,1,VERDADERO,21,388,43,97.94285893,2,1
16cb04924b311b24537fbbd4f2698d576da5bc95,4,4,4,4,4,0.75,3.458333333,13,160,23,12,5,10,5,1,10,10,1,1,4,46,0,0,0,VERDADERO,18,310,37,98.60000014,2,1
ed858747e6f2ca3ddf2eb5ab4cda191f2dd5d9b5,3.25,3.75,4,3.666666667,4,2,3.444444444,19,160,4,4,0,0,8,1,0,0,1,1,2,25,0,1,0,VERDADERO,16,335,35,100,2,1
83588a8b1ad86e20c489c031e5fe91c68371e902,2,1.75,3,2.333333333,3,3.25,2.555555556,9,160,0,12,0,0,10,1,0,0,1,1,3,23,0,1,0,VERDADERO,4,270,17,100,2,1
c5b3931a233cb56a8121bec9f7a150b062f62da6,3.5,3.75,4,3.666666667,4,1.75,3.444444444,28,150,9,3,0,0,12,1,0,0,1,1,3,24,0,1,0,FALSO,12,193,33,61.14285588,1,1
b97847c20fe710ab16479f3de72a9c09fd351d96,1,1.75,2.333333333,1.5,3.666666667,2,2.041666667,0,150,0,16,0,0,5,1,0,0,0,0,3,28,0,0,1,FALSO,8,151,16,62.00000048,1,1
5674cc70df1566bfb7ae722af2933b215ef20a67,2,2.25,3,2.333333333,3,1.75,2.388888889,25,150,8,6,4,0,4,0,1,0,1,1,3,20,0,1,0,FALSO,26,216,37,62.94285655,1,1
f2dc08c25556baa65c6f367ca54c85317d8ac19b,3,3.25,3.666666667,3.666666667,3.333333333,2.5,3.236111111,13,150,7,0,10,0,6,0,1,1,1,1,3,49,0,0,1,FALSO,14,265,23,76.39999986,1,1
0bb67fdf661e9d2d34095c26f2255a84e48e2a54,2.75,3.5,2.666666667,3.333333333,4,3,3.208333333,3,150,4,7,0,0,3,1,0,0,0,1,4,23,0,1,0,FALSO,7,156,14,82.08571672,1,1
6a3ff6a0b9167357d3324d0c3bfdbc79c6dfc638,3,3.25,3.666666667,3.333333333,3,3.5,3.291666667,37,150,4,4,0,5,6,1,0,0,1,1,4,24,0,0,0,VERDADERO,19,332,33,87.75237799,1,1
5f36a5ca9bf0d34ec847721ec96369b157dbf278,2.75,2.75,3.666666667,2.833333333,2,3,2.833333333,6,150,9,0,0,0,4,0,1,1,1,1,2,21,0,1,0,FALSO,11,208,14,88.27618957,1,1
d971e1c9cb826d21dba1057dc577f30147ae47ad,3.5,3.5,4,3.333333333,3.333333333,2.75,3.402777778,5,150,0,18,0,0,3,0,1,0,1,1,3,38,0,0,1,VERDAD,12,252,16,90.35238028,2,1
1579d15bcc6d93c3fb11c9fdf406d077d9a0c9dd,4,4,4,4,4,3,3.833333333,0,150,7,0,0,4,6,1,2,2,1,1,4,24,1,0,1,FALSO,6,217,8,90.80952406,2,1
